Date,Address,City,State,lon,lat,Killed,Injured
"August 1, 2017",800 block of N Monticello Ave,Chicago,Illinois,-87.71752,41.89544,0,4
"July 31, 2017",Jasper St and Main St,Decatur,Illinois,-88.94042,39.84177,0,4
"July 30, 2017",1500 block of Azalea Garden Rd,Norfolk,Virginia,-76.23477,36.8669,1,5
"July 30, 2017",1810 George Dieter Dr,El Paso,Texas,-106.30113,31.76547,1,3
"July 29, 2017",200 block of Carl St,Buffalo,New York,-78.82821,42.9201,1,4
"July 29, 2017",115 W Fisher St,Salisbury,North Carolina,-80.47169,35.66682,2,3
"July 28, 2017",400 block of N Washington St,Wilmington,Delaware,-75.55527,39.74204,0,4
"July 27, 2017",2000 block of E 71st St,Chicago,Illinois,-87.57587,41.76644,1,4
"July 26, 2017",2111 E. Green Drive,High Point,North Carolina,-79.98082,35.95327,1,6
"July 23, 2017",1500 block of East 82nd St,Chicago,Illinois,-87.58817,41.74598,1,3
"July 23, 2017",10360 Ave H,Baton Rouge,Louisiana,-91.19695,30.53849,0,4
"July 22, 2017",130 E Clifton Ave,Cincinnati,Ohio,-84.51422,39.11595,0,5
"July 19, 2017",2300 block of Bethel St,Richmond,Virginia,-77.41857,37.55512,0,5
"July 19, 2017",Imperial Hwy and Broadway,Los Angeles,California,-118.2784,33.93101,1,3
"July 18, 2017",Hewitt St and Division St,Trenton,New Jersey,-74.74373,40.20813,1,3
"July 18, 2017",3000 Block of N 39th St,Milwaukee,Wisconsin,-87.96209,43.07338,0,4
"July 18, 2017",NW Grand Ave and W Thunderbird Rd,El Mirage,Arizona,-112.31234,33.60891,0,4
"July 15, 2017",21st and Fitzwater,Philadelphia,Pennsylvania,-75.17738,39.94324,1,3
"July 15, 2017",12200 block of S Throop St,Chicago,Illinois,-87.6539,41.67201,0,4
"July 9, 2017",500 block Sturgeon Rd,Lawrenceville,Virginia,-77.77088,36.81192,0,7
"July 8, 2017",700 block of Oakwood,Alton,Illinois,-90.1733,38.91702,0,4
"July 8, 2017",9917 Capstan Dr,Cincinnati,Ohio,-84.59663,39.25405,1,8
"July 6, 2017",Eighth Ave,Meridian,Mississippi,-88.68653,32.38172,0,4
