Location,Year,Rate
North Carolina,1993,25.8
North Carolina,1995,25.8
North Carolina,1996,25.7
North Carolina,1997,25.8
North Carolina,1998,24.7
North Carolina,1999,25.2
North Carolina,2000,26.1
North Carolina,2001,25.9
North Carolina,2002,26.3
North Carolina,2003,24.8
North Carolina,2004,23.1
North Carolina,2005,22.6
North Carolina,2006,22.1
North Carolina,2007,22.9
North Carolina,2008,20.9
North Carolina,2009,20.3
North Dakota,1984,NA
North Dakota,1986,26
North Dakota,1988,22.1
North Dakota,1990,20.3
North Dakota,1992,23.2
North Dakota,1993,19.6
North Dakota,1995,22.7
North Dakota,1996,23.4
North Dakota,1997,22.2
North Dakota,1998,20
North Dakota,1999,22.2
North Dakota,2000,23.2
North Dakota,2001,22.1
North Dakota,2002,21.5
North Dakota,2003,20.5
North Dakota,2004,19.8
North Dakota,2005,20.1
North Dakota,2006,19.5
North Dakota,2007,20.9
North Dakota,2008,18.1
North Dakota,2009,18.6
Ohio,1984,28.7
Ohio,1986,28
Ohio,1988,26.2
Ohio,1990,26.1
Ohio,1992,23.9
Ohio,1993,25.3
Ohio,1995,26
Ohio,1996,28.5
Ohio,1997,25.1
Ohio,1998,26.2
Ohio,1999,27.6
Ohio,2000,26.2
Ohio,2001,27.7
Ohio,2002,26.6
Ohio,2003,25.2
Ohio,2004,25.8
Ohio,2005,22.3
Ohio,2006,22.4
Ohio,2007,23.1
Ohio,2008,20.1
Ohio,2009,20.3
Oklahoma,1984,NA
Oklahoma,1986,NA
Oklahoma,1988,24.2
Oklahoma,1990,26.6
Oklahoma,1992,26.7
Oklahoma,1993,26.6
Oklahoma,1995,21.7
Oklahoma,1996,24.1
Oklahoma,1997,24.6
Oklahoma,1998,23.8
Oklahoma,1999,25.2
Oklahoma,2000,23.3
Oklahoma,2001,28.8
Oklahoma,2002,26.6
Oklahoma,2003,25.1
Oklahoma,2004,26
Oklahoma,2005,25.1
Oklahoma,2006,25.1
Oklahoma,2007,25.8
Oklahoma,2008,24.7
Oklahoma,2009,25.5
Oregon,1984,NA
Oregon,1986,NA
Oregon,1988,NA
Oregon,1990,21.9
Oregon,1992,21.1
Oregon,1993,21.6
Oregon,1995,21.8
Oregon,1996,23.5
Oregon,1997,20.7
Oregon,1998,21.1
Oregon,1999,21.5
Oregon,2000,20.7
Oregon,2001,20.5
Oregon,2002,22.4
Oregon,2003,20.9
Oregon,2004,20
Oregon,2005,18.5
Oregon,2006,18.5
Oregon,2007,16.9
Oregon,2008,16.3
Oregon,2009,17.9
Pennsylvania,1984,NA
Pennsylvania,1986,NA
Pennsylvania,1988,NA
Pennsylvania,1990,23.6
Pennsylvania,1992,24.7
Pennsylvania,1993,22.6
Pennsylvania,1995,24.2
Pennsylvania,1996,24.5
Pennsylvania,1997,24.3
Pennsylvania,1998,23.8
Pennsylvania,1999,23.2
Pennsylvania,2000,24.3
Pennsylvania,2001,24.6
Pennsylvania,2002,24.5
Pennsylvania,2003,25.4
Pennsylvania,2004,22.7
Pennsylvania,2005,23.6
Pennsylvania,2006,21.5
Pennsylvania,2007,21
Pennsylvania,2008,21.3
Pennsylvania,2009,20.2
Rhode Island,1984,31.3
Rhode Island,1986,30.2
Rhode Island,1988,24.3
Rhode Island,1990,25.7
Rhode Island,1992,22.5
Rhode Island,1993,23.3
Rhode Island,1995,24.7
Rhode Island,1996,22.5
Rhode Island,1997,24.2
Rhode Island,1998,22.7
Rhode Island,1999,22.4
Rhode Island,2000,23.4
Rhode Island,2001,24
Rhode Island,2002,22.4
Rhode Island,2003,22.4
Rhode Island,2004,21.3
Rhode Island,2005,19.8
Rhode Island,2006,19.2
Rhode Island,2007,17
Rhode Island,2008,17.3
Rhode Island,2009,15.1
South Carolina,1984,26.2
South Carolina,1986,26.5
South Carolina,1988,25.6
South Carolina,1990,24.9
South Carolina,1992,27.8
South Carolina,1993,24.2
South Carolina,1995,23.7
South Carolina,1996,24.5
South Carolina,1997,23.4
South Carolina,1998,24.7
South Carolina,1999,23.6
South Carolina,2000,24.9
South Carolina,2001,26.2
South Carolina,2002,26.6
South Carolina,2003,25.5
South Carolina,2004,24.3
South Carolina,2005,22.5
South Carolina,2006,22.3
South Carolina,2007,21.9
South Carolina,2008,20
South Carolina,2009,20.4
South Dakota,1984,NA
South Dakota,1986,NA
South Dakota,1988,21.1
South Dakota,1990,20.7
South Dakota,1992,22.4
South Dakota,1993,21.1
South Dakota,1995,21.8
South Dakota,1996,20.7
South Dakota,1997,24.3
South Dakota,1998,27.3
South Dakota,1999,22.5
South Dakota,2000,21.9
South Dakota,2001,22.4
South Dakota,2002,22.6
South Dakota,2003,22.7
South Dakota,2004,20.3
South Dakota,2005,19.8
South Dakota,2006,20.3
South Dakota,2007,19.8
South Dakota,2008,17.5
South Dakota,2009,17.5
Tennessee,1984,25.1
Tennessee,1986,28
Tennessee,1988,29.8
Tennessee,1990,26.7
Tennessee,1992,26.9
Tennessee,1993,26.3
Tennessee,1995,26.5
Tennessee,1996,28
Tennessee,1997,26.9
Tennessee,1998,26.1
Tennessee,1999,24.9
Tennessee,2000,25.7
Tennessee,2001,24.4
Tennessee,2002,27.7
Tennessee,2003,25.6
Tennessee,2004,26.1
Tennessee,2005,26.7
Tennessee,2006,22.6
Tennessee,2007,24.3
Tennessee,2008,23.1
Tennessee,2009,22
Texas,1984,NA
Texas,1986,NA
Texas,1988,23.7
Texas,1990,22.9
Texas,1992,22.4
Texas,1993,23.8
Texas,1995,23.7
Texas,1996,22.9
Texas,1997,22.6
Texas,1998,22
Texas,1999,22.4
Texas,2000,21.9
Texas,2001,22.5
Texas,2002,22.9
Texas,2003,22.1
Texas,2004,20.4
Texas,2005,20
Texas,2006,17.9
Texas,2007,19.3
Texas,2008,18.5
Texas,2009,17.9
Utah,1984,16.1
Utah,1986,18.2
Utah,1988,14.7
Utah,1990,16.8
Utah,1992,15.7
Utah,1993,14.4
Utah,1995,13.2
Utah,1996,15.9
Utah,1997,13.7
Utah,1998,14.2
Utah,1999,13.9
Utah,2000,12.9
Utah,2001,13.3
Utah,2002,12.8
Utah,2003,11.9
Utah,2004,10.4
Utah,2005,11.5
Utah,2006,9.8
Utah,2007,11.7
Utah,2008,9.3
Utah,2009,9.8
Vermont,1984,NA
Vermont,1986,NA
Vermont,1988,NA
Vermont,1990,21.6
Vermont,1992,21.7
Vermont,1993,21.3
Vermont,1995,22.1
Vermont,1996,24.1
Vermont,1997,23.2
Vermont,1998,22.3
Vermont,1999,21.8
Vermont,2000,21.5
Vermont,2001,22.4
Vermont,2002,21.1
Vermont,2003,19.5
Vermont,2004,19.9
Vermont,2005,19.3
Vermont,2006,18
Vermont,2007,17.6
Vermont,2008,16.7
Vermont,2009,17.1
Virginia,1984,NA
Virginia,1986,NA
Virginia,1988,NA
Virginia,1990,22.6
Virginia,1992,23.5
Virginia,1993,23.3
Virginia,1995,22
Virginia,1996,24.8
Virginia,1997,24.6
Virginia,1998,22.9
Virginia,1999,21.2
Virginia,2000,21.4
Virginia,2001,22.5
Virginia,2002,24.6
Virginia,2003,22
Virginia,2004,20.8
Virginia,2005,20.6
Virginia,2006,19.3
Virginia,2007,18.5
Virginia,2008,16.4
Virginia,2009,19
Washington,1984,NA
Washington,1986,NA
Washington,1988,24.6
Washington,1990,22.3
Washington,1992,21.8
Washington,1993,22.5
Washington,1995,20.2
Washington,1996,23.5
Washington,1997,23.9
Washington,1998,21.4
Washington,1999,22.4
Washington,2000,20.7
Washington,2001,22.6
Washington,2002,21.5
Washington,2003,19.5
Washington,2004,19.2
Washington,2005,17.6
Washington,2006,17.1
Washington,2007,16.8
Washington,2008,15.7
Washington,2009,14.9
West Virginia,1984,32.8
West Virginia,1986,29.1
West Virginia,1988,26.7
West Virginia,1990,26.6
West Virginia,1992,24.8
West Virginia,1993,26.8
West Virginia,1995,25.7
West Virginia,1996,26.7
West Virginia,1997,27.4
West Virginia,1998,27.9
West Virginia,1999,27.1
West Virginia,2000,26.1
West Virginia,2001,28.2
West Virginia,2002,28.4
West Virginia,2003,27.3
West Virginia,2004,26.8
West Virginia,2005,26.7
West Virginia,2006,25.7
West Virginia,2007,26.9
West Virginia,2008,26.5
West Virginia,2009,25.6
Wisconsin,1984,27.4
Wisconsin,1986,26
Wisconsin,1988,24.3
