sex,pidate_mo,phealth,mhealth,worry,raceorig,ageworkforpay,marstat,educ,employ,age,hrswork,income,lifesat,sleep,selfesteem,worksatis,workdauth,workdemands,workcosupp,worksupsupp,workdiscrim,workineq,posworktofam,negworktofam,suppfam,strainfam,suppfriend,strainfriend,suppspouse,strainspouse,mindful,ratelife,rateday
MALE,3,FAIR,VERY GOOD,ABOUT THE SAME,WHITE,NA,MARRIED,HIGH SCHOOL/GED,NA,74,NA,35000,8.5,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2.5,3.5,2.5,4,1.833333333,33,9,9
FEMALE,6,EXCELLENT,EXCELLENT,ABOUT THE SAME,WHITE,< 18,MARRIED,BACHELOR'S DEGREE,WORKING NOW,45,20,10000,7.625,8,29,8,19,16,8,14,6,1.833333333,11,12,3.25,2.75,4,1.75,2.833333333,2,40,8,7
MALE,9,VERY GOOD,EXCELLENT,LESS,WHITE,< 18,MARRIED,SOME COLLEGE,WORKING NOW,63,60,122000,8.75,5,38,8,24,18,7,13,9,1.166666667,10,14,3.25,1.75,3.25,1.5,4,2,37,8,9
MALE,11,GOOD,GOOD,LESS,WHITE,< 18,DIVORCED,SOME COLLEGE,WORKING NOW,61,40,32000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALE,8,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,18-22,DIVORCED,MASTER'S DEGREE,WORKING NOW,45,65,310000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALE,7,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,< 18,NEVER MARRIED,DOCTORAL OR PROF DEGREE,RETIRED,77,0,22000,8,8,43,6,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.25,3.25,1.5,NA,NA,45,10,9
FEMALE,7,EXCELLENT,EXCELLENT,ABOUT THE SAME,WHITE,< 18,MARRIED,BACHELOR'S DEGREE,WORKING NOW,51,20,22000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,7,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,ASSOC DEGREE,WORKING NOW,56,45,45000,7.75,8,37,6,29,16,8,12,9,1.333333333,11,9,3,2,3.25,1,4,1.5,34,8,8
MALE,7,GOOD,GOOD,LESS,WHITE,18-22,NEVER MARRIED,SOME COLLEGE,SELF-EMPLOYED,67,40,30000,4,9,25,5,20,15,NA,NA,NA,NA,NA,NA,2,1.75,2,2,NA,NA,30,2,5
MALE,6,FAIR,GOOD,ABOUT THE SAME,WHITE,NA,MARRIED,SOME K12,NA,75,NA,22000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
